Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
(Arbuthnott Community Association) Lewis Grassic Gibbon Centre,Laurencekirk,,,Others,,,,,"Skilled Worker,Voluntary Workers","Worker (A rating),Temporary Worker (A rating)",28-Jul-21,
@ Architect UK Ltd,West Horndon,,,Architecture,,,,,Skilled Worker,Worker (A rating),13-Aug-21,
@ Home Accommodation Services Ltd,London,,,Legal,,,,," Creative & Sporting, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
[AI] INFINITI LIMITED,Croydon,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),7-Apr-21,
]performance s p a c e [,Folkestone,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),9-Oct-14,
01 ACCOUNTING SERVICES LTD,LONDON,,,Legal,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
012 Global Ltd,London,,,Education,,,,, Skilled Worker,Worker (A rating),16-Oct-20,
1 Digitals Europe Limited,Slough,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),12-Mar-20,
1 minus 1 Limited,Farnham,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),27-Jul-18,
1 Stop Halal Limited,Eye,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),24-Oct-18,
1 Stop Print Ltd,Ilford,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),25-Jun-14,
10 Europe Limited,Edinburgh,,,Architecture,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-May-14,
10 GROUP LTD  T/A THE 10 GROUP,LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),6-Aug-14,
100 SHAPES LTD,LONDON,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),26-Oct-18,
1000heads Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
100Starlings Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),11-Jan-16,
101 Ways Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),10-Jul-17,
10architect Ltd,Manchester,,,Architecture,,,,, Skilled Worker,Worker (A rating),30-Oct-19,
10BE5 LTD.,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),13-Jul-20,
10X Future Technologies Services Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),8-Jul-19,
